Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-02-24,"Credit: Oscar Wong | That said, if the area by your front door is filled with furniture that often goes unused, Shaw says it's time to kick some pieces to the curb. Keep your growing child's space fresh and relevant: Holdover baby furniture that is clearly out of proportion should move on out.”
  For furniture that can endure all the eras of your little one's life, spring for a simple bed that can be dressed up or down to suit their style and needs as they grow up.
   Still, there are some styles that designers are ready to part ways with, which is why I asked a handful to share the specific furniture pieces they're tired of seeing in 2024. Why not invest in a dedicated piece of furniture for all your WFH office needs — a filing cabinet or small storage cabinet.”
  ",neutral,0.46,"time, Find Alternatives, style, Mini, audit, Buh-Bye, Raili Clasen, ergonomically, Oscar, interior design, View, Hayslett, WFH, Maiden Home, Designers, little, gamut, itching, Mid-Century, home, Jessica Shaw, island, small, Getty Images, good, Grow Up, LH, North Carolina, Bar Carts, Mercer41, shelter-in-place, pieces, West Elm, Oscar Wong, Amazon, happy hour, filing cabinet, Oftentimes, crib, Dune, curl, Castlery, Shaw, Coat Rack, Linda Hayslett, furniture",2024-02-25,174.73,-0.5520774046670455
2024-02-24,"The Nashville Predators (30-25-2) will attempt to continue a three-game win streak when they face the San Jose Sharks (15-35-5) on the road on
Saturday, February 24 at 10:00 PM ET on ESPN+, NBCS-CA, and BSSO. When: Saturday, February 24, 2024 at 10:00 PM ET TV Channel: ESPN+, NBCS-CA, and BSSO Live Stream: Watch this game on ESPN+ Where: SAP Center at San Jose in San Jose, California Favorite Underdog Total Spread Predators (-225) Sharks (+180) 6 Predators (-1.5) Sportsbook Promo Codes Sportsbook Promo Code Offer BetMGM Predators vs. Sharks Game Info Catch over 1,000 out of market NHL games , plus original programming, with ESPN+ or the Disney Bundle.",neutral,0.98,"Nashville Predators, Catch, ESPN, Predators Sharks, Disney, BetMGM, ET, Click, Betting Trends, SAP Center, Odds, NBCS-CA, Predators, NHL, California, Sportsbook, San Jose, Underdog, Jose, Sharks, Amazon, game, Continue, ESPN+ Where, Disney Bundle, BSSO, ESPN+",2024-02-25,174.73,-0.5520774046670455
2024-02-25,"Thankfully, there are high-tech solutions to help you stay active throughout your work day without even having to leave your desk for a lunch break walk or early-morning gym trip.
  Amazon says this magnetic elliptical machine supports both seated and standing postures and has anti-slip pedals that fit feet up to 15 wide shoe sizes. That's why we created Ellipse with a 46% larger Rotational Diameter than any other seated elliptical in the world, this provides more Exercise and Range of Motion that's also Super Low Impact, Ultra Smooth and Feels Great!""
  This elliptical is available on Amazon, click here to shop the Ellipse bundle that comes with a no-slip mat.
   Here's a round-up of our favorite new at-home workout device — the under-desk elliptical:
  The Cubii Move features the low-impact, strength and cardio benefits of an elliptical but allows for under-desk placement and an easy workout during the day. According to DeskCycle, this compact elliptical has ultra-smooth magnetic resistance, a superior flywheel, a sturdy base and eight different resistance levels.",positive,0.99,"more, gym, elliptical, under desk, LCD, compact, lightweight, Amazon, slip, LegXercise, desk, Feels Great, Ellipse, Rollingsurfer, flywheel, DeskCycle, Ultra Smooth, ellipticals, small, mat, different, resistance",2024-02-26,173.54,-0.3073387907511111
2024-02-25,"If you want to know if you should replace your Samsung Galaxy S22 with the Galaxy S24, we recommend that you read this article until the end because here
 we will give you a detailed answer.
   If you want to know what we mean Here we leave you the technical data sheet of both phones:
  Samsung Galaxy S22 and Galaxy S24 specifications
  The Galaxy S24 has a much brighter screen
  When comparing the screen of both phones we see a clear difference in favor of S24. In some aspects the Galaxy S24 incorporates improvements that surpass the S22 and in other sections it continues to maintain some features in common with the previous model. Samsung Galaxy S22 vs. Galaxy S24: which has the best camera?
   The Galaxy S24 that has 256 GB of internal memory costs €834.99 On Amazon, the S22 with this same storage has a value of €494.10 .",positive,0.98,"differences, MP, pixel, battery, memory, SoC, Snapdragon, UFS, Galaxy S22, camera, Exynos, RAM, AMOLED, model, Samsung, Additionally, Samsung Galaxy, Dynamic, telephoto lens, difference, refresh rate, global, Xiaomi, Galaxy S24, MWC, AF, phones, Canada, United States, Amazon, S24, same, Dynamic AMOLED, Qualcomm Snapdragon, first, Galaxy, Hz, screen, PDAF, lens, S22",2024-02-26,173.54,-0.3073387907511111
2024-02-26,"Microsoft announced an artificial intelligence partnership Monday with the French startup Mistral AI that could lessen the software giant's reliance on ChatGPT-maker OpenAI for supplying the next wave of chatbots and other generative AI products.
  Article content
  Mistral AI emerged less than a year ago but is already what Microsoft described Monday as an “innovator and trailblazer” at the vanguard of building more efficient and cost-effective AI systems.
   The company also announced its newest large language model, Mistral Large, which it claims is in the same league as competitors such as OpenAI's GPT-4, Anthropic's Claude 2 and Google's Gemini Pro and will be available on Microsoft's Azure cloud computing platform. Article content
  Microsoft and Mistral didn't disclose the financial terms of the deal, though Microsoft said it involves a small investment in the Paris-based startup. Article content
  Mistral also on Monday released a public test version of its own chatbot, called Le Chat, that apparently was flooded with so much interest that a company executive said it was temporarily unavailable for part of Monday.
  ",neutral,0.86,"Le Chat, GPT, U.S, Mistral, artificial intelligence, Paris, cloud, Article, Amazon, antitrust, email, social media, CEO, Artificial Intelligence, Google, big splash, Postmedia, Anthropic, social network, Arthur Mensch, ChatGPT, European Union, Mistral Large, Monday, Comments, EU, Europe, GPT-4, cloud computing, guard, content, Claude 2, Timothee Lacroix, OpenAI, This Week, last, French, Azure, AI, Guillaume Lample, France, Microsoft, Mistral AI, Gemini",2024-02-27,173.16,0.4175365344467634
2024-02-26,"February 26, 2024 at 12:33 PM EST  A Timely Critique of the Modern GOP, Dr. Daniel Brubaker's Book, Explores the Psychological Underpinnings of Contemporary U.S. Politics
 United States - February 26, 2024 —
  In his thought-provoking analysis, 'Psychosocial Political Dysfunction of the Republican Party,' Dr. Daniel Brubaker delves into the complex world of contemporary Republican politics, examining the psychological, developmental, cultural, and interpersonal factors contributing to the chaos in today's U.S. political landscape.
   ""At a time when the political discourse is more polarized than ever, it's crucial to understand the psychological dynamics at play,"" says Dr. Daniel Brubaker, author of "" Psychosocial Political Dysfunction of the Republican Party."" ""Psychosocial Political Dysfunction of the Republican Party"" is now available on Amazon , inviting readers to join Dr. Brubaker on a journey of exploration and introspection into contemporary U.S. politics.
   We incorporate numerous ideas to continue our democracy and further compete globally,"" adds Dr. Daniel Brubaker.
  About the Author:
  Dr. Daniel Brubaker initiated Republicans for Progress to release the negative, retrogressive, and oppressive grip of the Republican Party over Americans. Brubaker's book doesn't hold back, offering a mix of individual psychological analysis and broader statements about the state of the Republican Party.",neutral,1,"United States, Pathology, EST, Los Angeles, Progress, Daniel, GOP, book, clinical medicine, Republican Party, U.S, introspection, Party, UCLA, Amazon, political, California, Factual, fascism, Marilyn Johnson-Gran, autocracy, utilitarianism, psychological, Republican, Pittsburgh, San Francisco, democracy, House, socialism, star, progressive, UCSF, U.S., Brubaker, medicine, Daniel Brubaker, fascist, Olympus, America, Oklahoma University, Andrew Garcia",2024-02-27,173.16,0.4175365344467634
2024-02-27,"The owners of a money-making scheme that claimed to use artificial intelligence to boost earnings for consumers’ e-commerce storefronts have agreed to surrender millions in assets to settle the FTC’s case against them. The settlement order includes a number of requirements:

Permanent ban on offering business opportunities or coaching for e-commerce platforms: Each of the defendants other than Chapman and his company, Pelenea Ventures, LLC, will be permanently banned from offering business opportunities or coaching services related to managing online marketplace e-commerce platforms. “The defendants lured consumers into investing millions in online stores supposedly powered by artificial intelligence and made empty promises that they could coach consumers into achieving success and profitability,” said Samuel Levine, Director of the FTC’s Bureau of Consumer Protection. Each of the defendants other than Chapman and his company, Pelenea Ventures, LLC, will be permanently banned from offering business opportunities or coaching services related to managing online marketplace e-commerce platforms. Prohibition on preventing negative reviews: The order would also prohibit all of the defendants from enforcing parts of their contracts that restricted their customers from leaving negative reviews about their companies or including such provisions in future contracts.

",neutral,0.97,"online marketplace, Amazon, Chapman, Onyx, Roman Cresto, FTC, Commission, Walmart, LLC, defendants, Automators AI, Prohibition, consumers, case, business, AI, District Court, cryptocurrency, Permanent, John Cresto, assets, Southern District, orders, ecommerce, Pelenea Ventures, Samuel Levine, Automators, stores, Colleen Robbins, artificial intelligence, order, Each, Frances Kern, Onyx Distribution, Empire Ecommerce, bank, e-commerce, California, Andrew Chapman",2024-02-28,176.76,2.167504768510491
2024-02-27,"While promoting last year’s Guardians of the Galaxy Vol. 3, Marvel vet Dave Bautista stated that he will no longer return to the Marvel Cinematic Universe as Drax the Destroyer after James Gunn’s final installment to the blockbuster superhero franchise.
 What are Dave Bautista’s upcoming projects Bautista will next be seen reprising his role as the villainous Glossu Rabban in Denis Villeneuve’s highly-anticipated Dune: Part Two. However, it seems like Bautista isn’t done with the superhero universe after all. “When I said that I was done, I was really just done with my journey as Drax,” Bautista explained. He clarified that he’s only done with playing Drax and is now open to sign on for a different
 Marvel character which he hopes would be something that has more depth.
 ",neutral,0.87,"Amazon, Dave Bautista, comedy film, Marvel, Lionsgate, Destroyer, Kevin Feige, role, Bautista, comedy, action comedy, Drax, upcoming, Jason Momoa, Dune, MCU, action, superhero, projects, Lou, Glossu Rabban, Galaxy, Galaxy Vol, Gia Coppola, James Gunn, io9, DC, Denis Villeneuve",2024-02-28,176.76,2.167504768510491
2024-02-28,"The big picture: Elevated Perceptions has launched an automated gaming scent atomizer that promises to deliver a 4D immersive experience right at home. The kit comes with six scent cartridges to start with including gun fire, explosion, racing, storm, forest, and clean air, which neutralizes any smells in the vicinity. Rather than having to code the scent dispenser to work with your favorite game or platform, the patent-pending device listens for specific audio cues while you're playing and pumps out the appropriate fragrance. Elevated Perceptions President Casey Bunce said studies have shown that the sense of smell imprints in long-term memory more strongly than anything else. Similar efforts have come and gone over the years, including a VR arcade cabinet that used wind, smell, and rain to heighten immersion and a wearable device.",neutral,0.89,"GameScent, Smell-O-Vision, cartridge, Bunce, smells, long-term memory, GameStop, air, cartridges, 4D, scent, forest, Think Smell-O-Vision, President, immersion, Perceptions, PAX, Ubisoft, ocean, blood, Casey Bunce, smell, arena, Amazon, South Park, arcade cabinet, wearable device, grass, Best Buy, VR, device, game, Elevated Perceptions, PAX East, Boston, Feelreal, fragrance, AI",2024-02-29,178.22,0.8316831683168311
2024-02-28,"More than 500 people will be let go, the over-the-counter pharmaceutical company announced in its Q4 2023 financial results.
  The company is headquartered in Dublin, Ireland, and has its North American corporate headquarters in Grand Rapids along the Medical Mile.
  Perrigo also has locations in Allegan and Holland.
   The over-the-counter pharmaceutical manufacturer said despite improvements in gross profit, Perrigo will launch ""Project Energize"" as an effort to make their growth strategy more sustainable.
   The company employs around 9,000 people. DUBLIN, Ireland — Perrigo has plans to cut about 6% of its workforce which is slated to begin the first quarter of 2024.
  ",neutral,0.59,"over-the-counter, Perrigo, Grand Rapids, The Company, Medical Mile, Energize, counter, Dublin, Roku, people, Holland, quarter, DUBLIN, pharmaceutical, company, gross profit, pharmaceutical company, Allegan, Ireland, SIDE, Apple TV",2024-02-29,178.22,0.8316831683168311
2024-02-29,"Claire Williams is one of 22 authors opening up in the fourth volume of the book series, Voices of Impact.   Claire's dedication to empowering parents has led her to co-found and facilitate at I.M.P.A.C.T., a ground-breaking program focused on helping parents and carers reclaim valuable time for themselves, learn essential life skills, and adopt a growth mindset. That started me on my journey to discover exactly what those answers were and put them into practice so I could become the parent I wanted to be - a parent that thrived,"" reflects Claire on her transformative journey.
   With a passion for empowering parents and nurturing strong parent-child relationships, Claire's journey from struggle to success has positioned her as an inspirational voice of change.
   Drawing upon her own real-life experiences and academic background in psychology from the University of Edinburgh, Claire has embarked on a mission to revolutionise how parents approach their roles.",neutral,0.96,"life, energy, parenting, I.M.P.A.C.T, growth mindset, Parenting Coaching, Mastery, Edinburgh, Imperfect Perfect, Claire, Scotland, Steps, Williams, Impact, Voices, mothers, Melanie Wood, Mum Mastery, breastfeeding, psychology, Advocacy, norm, United Kingdom, Amazon, journey, tagline, parents, Claire Williams",2024-03-01,178.22,0.0
2024-02-29,"A cable car traveling along Powell Street passes Macy's near Union Square in San Francisco on Tuesday, Feb. 27, 2024. The high profile job cuts seem to arrive steadily, but the companies that went on major hiring sprees, mostly big tech, are still much bigger than they were a few years ago, before they began bulking up their workforces. Retail Layoffs eBay
 Online retailer eBay Inc. will cut about 1,000 jobs, or an estimated 9% of its full-time workforce, saying its number of employees and costs have exceeded how much the business is growing in a slowing economy.
  The video streaming platform’s CEO Dan Clancy said in an email to employees that even with cost cuts and growing efficiency, the platform “is still meaningfully larger than it needs to be given the size of our business.”
 Packaging & Delivery Layoffs
 UPS
 UPS will cut 12,000 jobs and hinted that its Coyote truck load brokerage business may be put up for sale. Social Media Layoffs
 Snap
 The owner of Snapchat is cutting approximately 10% of its worldwide workforce, or about 530 employees, the latest tech company to announce layoffs.",neutral,0.84,"Alphabet, Tencent, Americas, Layoffs, audiobook, Andrew Wilson, Asia, video streaming, Niraj Shah, U.S. economy, swashbuckling, Nike, Florida, Riot Games, Oregon, CEO, Arlington, Vice Media, Simi Valley, The purge, Tallahassee, naming rights, Levi, ByteDance, Internet, division, Tallahassee, Florida, San Francisco, Jim Ryan, employees, Cisco, Wayfair, operator, New York, Vice.com, Japan, Studio, denim, Dan Clancy, Levi’s Stadium, REI, LA, PlayStation, Benjamin Fanjoy, Beijing, Snap Inc, Beaverton, Sony, Snap Inc., UPS, Associated Press, U.S, company, California, Estee Lauder, Lihue, Hawaii, Teamsters, Chinese, Bob Carrigan, eBay, London, Splunk, layoffs, Activision Blizzard, cuts, Snapchat, jobs, Twitch, Cisco Systems, year, Europe, bankruptcy, video game, Amazon, Lihue, Hawaii, Google, Coyote, Media, Prime Video, Microsoft, Redwood City, workers, Beaverton, Oregon, Eric Artz, Union Square, Virginia, San Leandro, Arlington, Virginia, TikTok, engineering, pandemic, unemployment, workforce, multiplayer, department, eBay Inc, Middle East, Google
 Google, Audible, Africa, Electronic Arts, MGM Studios, COVID-19, podcast, social media, Macy",2024-03-01,178.22,0.0
2024-03-01,"The A-list actress relies on castor oil, and we've found a No. 1 bestselling option for a steal.
  Updated
  In this article:
  Helen Mirren
  If you're in the market for an affordable, multitasking beauty product, you're in luck: Much-maligned castor oil is a surprising celebrity-loved skin-care staple that's used to promote eyebrow, lash and hair growth; moisturize skin; and help reduce the appearance of blemishes, fine lines and wrinkles. Formulated with 100% pure castor oil, this skin nourisher can also be used on hair to help promote moisture and growth.
   What reviewers say
  Mirren isn't the only one using castor oil to improve her hair and skin. Halle Berry, Kristin Chenoweth and Kim Kardashian also count themselves as fans of this popular and affordable skin-care product, which can be used to minimize the appearance of wrinkles, scars and stretch marks.
  ",neutral,1,"Middleton, Amazon, skin, stretch marks, Updated, only, laxative, Castor, Bio-Oil, bottle, amber, scalp, Mirren, castor oil, beauty, wrinkles, Kim Kardashian, Kate Middleton, oil, blowdrying, hair, gymnastics, Kate, Handcraft, follicles, Kristin Chenoweth, Helen Mirren, multitasking, ounce, castor, Instagram, moisturizer, beauty product, product, Amazon Prime, Halle Berry",2024-03-02,178.22,0.0
2024-03-01,"Will Forte went all Looney Tunes after finally watching his shelved movie “Coyote vs. Acme” — and said that “it’s incredible” in an open letter/rant he posted to his colleagues on the doomed flick.

 Will Forte at the Big Slick Celebrity Weekend event in Kansas City, Mo. Stephen Lovekin/Shutterstock

The movie, starring Forte, is based on a satirical 1990 New Yorker article in which Wile E. Coyote is suing the Acme Corporation over its back-firing products that kept him from capturing the Road Runner in the Looney Tunes cartoons.

 “I know a lot of you haven’t gotten a chance to see our movie,” he said on X, addressing the “Coyote vs. Acme” cast and crew. The conglomerate said it did this as part of a “strategic realignment plan associated with Warner Bros. Pictures Animation Group.”

3 Warner Bros. shelved “Coyote vs. Acme” for a tax write-off as part of $115 million in content in the third quarter of 2023. Then, last week, Warner Bros. Discovery said in an earnings filing that it wrote off $115 million in content after abandoning movies in the third quarter of 2023.

",positive,0.94,"Bros., Coyote, Kansas City, satirical, Utah, Looney Tunes, Stephen Lovekin/Shutterstock, Lana Condor, Amazon, live action, New Yorker, Hollywood, Will Forte, EPA, GC, ALLISON DINNER, movie, City, ” Forte, Twitter, Then, Warner Bros., Warner Bros, Road Runner, part, Acme Corporation, Forte, catchphrase, open letter, THR, Mo, The conglomerate, John Cena, write-off, Shutterstock, incredible, Warner, Acme",2024-03-02,178.22,0.0
2024-03-02,"NEW YORK (AP) — Wendy's clarified its intentions Wednesday, drawing a distinction between the company's “dynamic pricing” strategy and “surge pricing” practices that charge more during times of peak demand. Surge pricing is a subset of dynamic pricing and only involves increasing prices, based on supply and demand, experts say.
   Here's a look at the differences between dynamic and surge pricing, which industries are using them and some of the more subtle ways in which companies build price fluctuations into their bottom lines. Dynamic pricing and surge pricing are both models that continuously adjust prices based on a range of factors, sometimes within minutes.",neutral,0.83,"Airlines, Combo, dynamic, Cyber Monday, fast-food, Utilities, pricing, Daniel Freund, Walmart Inc, peak, Uber, street, prices, CEO, grocer, Rachel, Jason Goldberg, rush hour, demand, Roxarzade, QR codes, coronavirus, These days, Dave, yield management, fork, Neil Saunders, Publicis Groupe, DO, more, Massachusetts, Saunders, Florida, Goldberg, NEW YORK, Hotels, infection, E-commerce, inflation, restaurants, social media, sandwich, hotel, Frosty, Las Vegas, AP, Sauce Pricing, toy, Wendy, Amazon, GlobalData, QR, Debbie Roxarzade, pandemic, Walmart Inc., Black Friday, U.S, digital, times",2024-03-03,177.58,0.02816425392891983
2024-03-02,"Quick Links  Shrek 5 is confirmed to be in development  Shrek 5: Additional News and Information  Summary  shrek 5
 Development was confirmed with the possibility of a spin-off.
   After such a long wait, shrek 5 This could prove to be the most exciting installment of the franchise that helped put DreamWorks on the map as a powerhouse of CGI animation.
  latest shrek 5 news
  A spinoff star wants to return in Shrek 5
  Although this is not a major development, the latest news shows Puss in Boots: The Last Wish Star expressed interest shrek 5 , The actor, voicing the character of Perito in Dreamwork's blockbuster spinoff Harvey Guillen hopes he can return to long-awaited role shrek 5 , Asked if he would appear, Guillen said, “ Oh hell every year ” if he could.
  since shrek 2 Antonio Banderas has delighted fans with the success of the Puss in Boots character and his own spin-off series, He believes it is time for this fiery cat to return to shrek universe It all started from that. There's probably going to be someone else, and [Shrek] probably coming back
  Banderas is one of the latest cast members of the franchise to give fans the potential shrek 5 update, and receive critical praise for Puss in Boots: shrek 5 story details
  What will happen when Shrek comes back?
  Despite numerous updates regarding the script over the years, no actual story details have been revealed regarding the long-awaited story shrek 5 , After this Shrek and Fiona settled down shrek 4 , something major will need to happen to steal both of them away from their happily ever after.",neutral,0.87,"story, cast, franchise, Banderas, DreamWorks, satirical, Dune, shrek 2, Premiere, Peacock, Harvey Guillen, Will Shrek, Perry, Chris Meledandri, The fan, shrek, development, Amazon Prime, characters, 5 news, esoteric, Quick Links, Netflix, Guillen, development hell, Donkey, fairy tale, CGI animation, Luke Perry, Tyler Perry, CGI, Donkey Kong, mystery, Fiona, Antonio Banderas, film, Cameron Diaz, Mike Myers, star, Eddie Murphy, Vudu, spin-off, shrek 3, return, Broadway, Dreamwork, Boots, Amazon, Mike Meier, Forever, Shrek, Google Play, Perito, origin story, Mea Culpa, Development, Puss, Summary, Apple TV",2024-03-03,177.58,0.02816425392891983
2024-03-03,"Julio Torres's directorial debut Problemista from A24 posted the highest per-screen average of the weekend with a solid limited opening, grossing $140.9k on five screens in New York and LA with multiple sold out Q&As. More from Deadline
  'American Fiction' And 'Slow Horses' Score Wins At USC Scripter Awards
  The Script's The Thing: Read All Of This Year's Oscar-Nominated Screenplays
  Julio Torres' Surreal Immigration Comedy 'Problemista', Iranian Drama 'Shayda' Debut, With 25-Year Old Doc 'Pitch People' - Specialty Preview
  A surreal comedy about a young aspiring toy designer from El Salvador navigating New York City and the U.S. immigration system, it premiered at SXSW last year . A24's The Zone Of Interest by Jonathan Glazer continued on 571 screens for an estimated $204k weekend and a $7.8 million domestic cume
  MORE
  Best of Deadline
  TV Cancellations Photo Gallery: Series Ending In 2024 & Beyond
  Hollywood & Media Deaths In 2024: Photo Gallery & Obituaries
  2024 Premiere Dates For New & Returning Series On Broadcast, Cable & Streaming
  Sign up for Deadline's Newsletter . Oscar-nominated holdovers Neon's Perfect Days by Wim Wenders saw a strong $480k in week four on 271 screens, for a cume of $2.2 million.
   Oscar-Nominated Shorts from ShortsTV and Magnolia hit a solid $330k on 258 screens in week three, looking set to surpass last year's $3.025 million, likely by the end of this week, Magnolia said.",neutral,0.96,"peak, Magnolia, Noora Niasari, Oscar, Amazon, U.S, Cord Jefferson, toy, Specialty, USC, feature length, Deadline, surreal comedy, Oscar-Nominated Screenplays, PSA, Torres, LA, Oscar-Nominated Shorts, cume, Dune, El Salvador, Facebook Twitter, Twitter, The Thing, Hollywood, The Script, New York, Emma Stone, Julio Torres, Indie Standouts, Script, live action, Yorgos Lanthimos, Problemista, & Beyond, SXSW, A24, Deadline's Newsletter, Jonathan Glazer, screens, Wim Wenders, MGM Studios, Facebook, Neon, Tilda Swinton, immigration, Doc, American Fiction, Instagram, year, weekend",2024-03-04,174.12,-1.5881987226586798
2024-03-03,"The European Commission has indicated that Elon Musk’s X social media platform, alongside TikTok’s parent company ByteDance and online travel agency Booking.com, could soon fall under stringent regulations set forth by the Digital Markets Act (DMA).
 Under the DMA, companies with over 45 million monthly active users and a market capitalization exceeding 75 billion euros are identified as gatekeepers, providing pivotal platform services for business users. The European Commission now has a 45-working-day period to deliberate on the designation of these companies as gatekeepers.
  This prospective regulatory scrutiny adds X, ByteDance, and Booking.com to the roster of tech giants already designated as gatekeepers last year, including Alphabet, Amazon, Apple, Meta, and Microsoft.
  ByteDance had previously been identified as a gatekeeper in July of the preceding year, albeit TikTok has contested this designation at Europe’s second-highest court.",neutral,0.65,"services, Europe, Apple, DMA, interoperability, Elon Musk, Booking.com, ByteDance, users, Alphabet, Crucially, Amazon, EU, Microsoft, gatekeeper, Meta, social media, messaging apps, Gatekeeper Status, TikTok, digital, market capitalization, year, companies, designation, gatekeepers",2024-03-04,174.12,-1.5881987226586798
2024-03-04,"Nikada

Article Thesis

JD.com, Inc. (NASDAQ:JD)(OTCPK:JDCMF) will report its Q4 2023 earnings results on Wednesday. JD.com is thus not a risk-free company at all, but for someone looking for China exposure, JD.com could nevertheless make sense in a diversified portfolio -- the valuation is so low that even moderate business growth could result in great total returns in the long run. JD.com: Very Inexpensive

JD.com has a good chance of reporting better-than-expected results, but the company will not showcase any extraordinary or explosive business growth for sure. While this would represent a decline compared to the previous year's period, it is very important to note that the analyst consensus estimate has been pretty far from target in the past: JD.com has beaten the consensus earnings per share estimate by 15%, 9%, 35%, and 38% over the last four quarters, respectively [see Seeking Alpha page linked above]. Of course, higher growth would be better, but even in a no-growth or low-growth scenario, JD.com could be an appealing investment as the market currently prices JD.com as if its earnings were about to decline into perpetuity.

",neutral,0.42,"Chinese economy, Apple, macro, META, Likewise, Meta Platforms, First, Amazon, JD.com, Inc, dividend, EV/EBITDA, Investors, anti-competitive practices, Alibaba, value, perpetuity, JD, China, JD.com, e-commerce, Wall Street, company, earnings, revenue, Data, cash, geopolitical, Oftentimes, EV/EBITDA, weed, United States, balance sheet, economic growth, bad company, share, Chinese, catalyst, Based, market capitalization, JDCMF, growth, EBITDA, NASDAQ, BABA, Apple (AAPL, Seeking Alpha",2024-03-05,173.51,-1.1564315825452895
2024-03-04,"Best Face Primers for Every Skin Type Reviewed  ""Hearst Magazines and Yahoo may earn commission or revenue on some items through these links.""
 The biggest hack to a perfect-looking face is to prep your complexion with the right skincare products. 
   Shop Now
  Poreless Putty Face Primer
  ulta.com
   More
  Pore Eclipse Mattifying + Blurring Makeup Primer
  Last year, Milk Makeup debuted a new face primer to its roster of iconic clean beauty products, and my complexion couldn't have been happier. Shop Now
  Hydro Grip Hydrating Makeup Face Primer
  sephora.com
   More
  Lait-Crème Concentré Face Primer
  This iconic product isn't just an incredible face moisturizer , but it works equally well as a makeup primer, face mask , and hand cream. After testing several new beauty products, classics, and straight-up icons from high-end and drugstore brands alike, I settled on six standout face primers ideal for various skin types. Before the brand introduced its oily skin face primer, this was my all-time favorite Milk Makeup product.
  ",positive,1,"BareMinerals, Eclipse, hydration, moisturizer, beauty, New York, Dry Skin, Amazon, product testing, aging, Best Products, Skin, Best, soy, stippling, mahogany, Sephora, Shop Now, aloe vera, Putty, subway, gel, beeswax, primer, NYC, collagen, niacinamide, primers, Hearst Magazines, UV, face makeup, Best Ingredients, Erica Murphy, C. There, rosacea, Yahoo, skin type, Primer, formula, oily skin, camouflage, Airbrush, SEO, lightweight, moisturizers, sunscreen, vitamin C, Ulta, color corrector, Amazon Sephora, oleic acid, Wicked, makeup, SPF, face, Collagen, Expert-Approved, blue agave, Milk Makeup, Time, bay, hand cream, acne, skin, Flawless, drugstore, hyaluronic acid, oil, Cream, Charlotte Tilbury, lock, Lait-Crème Concentré, Hydrate, Makeup, Florida, ultraviolet, T-Zone, IRL, Caliray, Face, tree, foundation",2024-03-05,173.51,-1.1564315825452895
2024-03-05,"A widespread outage affected Meta and other top online services providers on Tuesday morning.
  Google's Workspace Status Dashboard did indicate service disruptions, with a status message saying that “some Gmail users are experiencing elevated error rates while performing various actions and may also see delays in email delivery.”
  Measurement difficulties
  One of the last major outages for Meta happened in October 2021 , when most of the company's social media channels went offline for over seven hours.
   Posts on other social media including X, formerly Twitter, and postings to the outages digest mailing list confirm widespread disruptions to Meta-provided services, and an influx of reports to Downdetector.com underline that a major disruption occurred sometime around 11 AM Eastern Time on Tuesday.
   Widespread outages for Facebook, Instagram and Threads were reported Tuesday morning, as parent company Meta warned that many of its core services were suffering from outages.
   All of the outages list an inability to log in to the company's services as the core issue, but little further information is available from Meta at this point.",neutral,0.9,"social media, Facebook Login, services, Facebook, major, Bar-Ilan University, Downdetector, company, AWS, Eastern, Time, backbone network, Jon Gold, FoMO, social, wireless, Twitter, Israel, Workspace Status, media, AM, Network World, Meta, Health Dashboard, Downdetector.com, IoT, Amazon, API, disruptions, survey, Graph API, outages, wireless networking, WhatsApp, YouTube, Instagram Shops, Instagram, outage, Widespread, Gmail, stress, Google",2024-03-06,176.82,1.138248584339061
2024-03-05,"MP Materials Corporation (NYSE: MP) is -21.76% lower on its value in year-to-date trading and has touched a low of $14.32 and a high of $34.15 in the current 52-week trading range.
 MP Materials Corporation disclosed in a document filed with the SEC on May 30 that Rosenthal Michael Stuart (Chief Operating Officer) bought a total of 6,000 shares of the company's common stock. MP Materials Corporation quarterly earnings per share for the current quarter are estimated at -$0.01 with sales reaching $50.48M over the same period. MP Materials Corporation (MP) Top Institutional Holders
  521 institutions hold shares in MP Materials Corporation (MP), with institutional investors hold 67.54% of the company's shares. SEC filings show that Rosenthal Michael Stuart bought 5,000 shares of the company's common stock on May 31 at a price of $20.69 per share for a total of $0.1 million.",neutral,0.98,"Operating Officer, Tesla, last, The firm, Buffett, SMA50, stock, 2 times, company, volatility, trading, SEC, Insider Activity, NYSE, sales, SMA200, accounting, Materials, QVT, Invest, Blackrock Inc, Amazon, Vanguard Group, Fwd P, The insider, Float, Apple, Jun 29, Corporation, common stock, Michael Stuart, MP, AI, P/E ratio, EPS, year, Blackrock Inc., institutional investors, P/E, Imagine, shares",2024-03-06,176.82,1.138248584339061
